MAE,RMSE,MAPE,model,state
3779793.98,4310021.02,4.14,Random Forest,Kansas
6304756.45,7033845.83,3.65,Random Forest,Kentucky
7807057.64,9264708.7,4.27,Random Forest,Louisiana
1739255.84,2138883.76,3.74,Random Forest,Maine
3435278.96,4387366.7,2.14,Random Forest,Maryland
6768361.96,7917629.29,3.67,Random Forest,Massachusetts
5655422.36,7330729.02,2.01,Random Forest,Michigan
3394682.27,3971074.52,2.21,Random Forest,Minnesota
2213358.92,2952436.6,1.82,Random Forest,Mississippi
3109229.24,3914147.65,1.58,Random Forest,Missouri
2254974.9,2664892.18,3.58,Random Forest,Nebraska
2568001.89,3019585.33,2.53,Random Forest,Nevada
1482315.62,1710992.82,2.72,Random Forest,New Hampshire
2511481.79,2881693.96,3.42,Random Forest,New Mexico
10304946.75,12130445.62,2.37,Random Forest,New York
8597291.25,9824279.28,2.44,Random Forest,North Carolina
7774552.51,9006185.73,2.13,Random Forest,Ohio
7980585.95,8735418.08,5.41,Random Forest,Oklahoma
3358952.88,4257785.39,2.97,Random Forest,Oregon
5966834.68,7081662.77,1.68,Random Forest,Pennsylvania
1013667.01,1161075.35,3.79,Random Forest,Rhode Island
6622043.97,7317531.82,3.38,Random Forest,South Carolina
782795.72,951775.78,2.82,Random Forest,South Dakota
9650016.18,10446770.8,3.72,Random Forest,Tennessee
20085096.37,23387449.66,2.24,Random Forest,Texas
1763693.19,2148299.49,2.16,Random Forest,Utah
465278.4,518751.12,2.54,Random Forest,Vermont
8346857.84,9482356.16,2.88,Random Forest,Virginia
5182997.16,6043620.36,2.8,Random Forest,Washington
3239524.22,3829780.75,4.25,Random Forest,West Virginia
3542854.3,4294871.14,2.31,Random Forest,Wisconsin
1058871.73,1183743.44,4.96,Random Forest,Wyoming
7384073.95,8192029.3,3.58,LSTM,Alabama
5200554.87,6084500.49,2.35,LSTM,Arizona
3932332.24,4398629.2,3.56,LSTM,Arkansas
25559300.03,30189575.36,2.99,LSTM,California
3329994.9,4143206.77,1.94,LSTM,Colorado
1900613.47,2189467.87,2.12,LSTM,Connecticut
18332894.86,22108978.52,2.44,LSTM,Florida
9983750.8,11713011.19,2.66,LSTM,Georgia
9180281.52,10587238.45,2.9,LSTM,Illinois
7023150.58,8232865.58,3.19,LSTM,Indiana
3624279.16,4154008.62,3.13,LSTM,Iowa
2413453.93,2809129.32,2.69,LSTM,Kansas
3878055.67,4457123.69,2.27,LSTM,Kentucky
5749647.93,6838571.86,3.15,LSTM,Louisiana
1108188.05,1404233.25,2.4,LSTM,Maine
3495494.51,4225967.42,2.17,LSTM,Maryland
4681924.64,5621773.05,2.54,LSTM,Massachusetts
6994112.13,8218049.71,2.42,LSTM,Michigan
4151937.55,4785470.2,2.67,LSTM,Minnesota
3583850.04,4277276.62,2.91,LSTM,Mississippi
6129952.74,6990805.82,3.13,LSTM,Missouri
1173281.33,1481863.95,1.93,LSTM,Nebraska
3336706.36,3896889.82,3.28,LSTM,Nevada
1673050.23,2102654.47,3.0,LSTM,New Hampshire
2009664.06,2342644.71,2.78,LSTM,New Mexico
10235707.89,11736435.66,2.38,LSTM,New York
7771377.97,8968537.98,2.19,LSTM,North Carolina
8895413.97,10189588.41,2.41,LSTM,Ohio
4765273.41,5474363.14,3.23,LSTM,Oklahoma
2912160.77,3217347.83,2.56,LSTM,Oregon
7919669.41,9180157.91,2.2,LSTM,Pennsylvania
725471.31,847480.72,2.73,LSTM,Rhode Island
4897519.06,5497049.84,2.53,LSTM,South Carolina
947348.54,1122183.26,3.39,LSTM,South Dakota
7147624.64,8115674.45,2.75,LSTM,Tennessee
23338445.03,26449614.67,2.61,LSTM,Texas
2128083.27,2507549.81,2.61,LSTM,Utah
513209.51,648544.71,2.82,LSTM,Vermont
7448172.75,8506868.25,2.56,LSTM,Virginia
4738161.57,5554653.94,2.52,LSTM,Washington
2731450.92,3082836.44,3.6,LSTM,West Virginia
3693249.7,4201640.59,2.37,LSTM,Wisconsin
504084.87,622069.0,2.35,LSTM,Wyoming
7260709.46,8812758.18,3.6,Prophet,Alabama
8111465.41,10218707.51,3.73,Prophet,Arizona
4009531.98,4890259.74,3.68,Prophet,Arkansas
34998951.27,42195335.42,4.19,Prophet,California
6683874.75,8069844.75,3.87,Prophet,Colorado
3169333.27,3945393.47,3.55,Prophet,Connecticut
18962262.91,24293717.89,2.58,Prophet,Florida
11835902.62,14268425.99,3.17,Prophet,Georgia
14005087.12,17174966.03,4.49,Prophet,Illinois
7995747.28,9588807.75,3.67,Prophet,Indiana
4486425.07,5428569.9,3.95,Prophet,Iowa
3455977.21,4468557.4,3.86,Prophet,Kansas
5827259.33,7347551.14,3.45,Prophet,Kentucky
6113959.06,7341291.75,3.44,Prophet,Louisiana
2010857.17,2388713.21,4.4,Prophet,Maine
5870460.63,6732402.15,3.66,Prophet,Maryland
7055121.55,8447656.14,3.86,Prophet,Massachusetts
11302576.99,13608033.49,3.98,Prophet,Michigan
6015784.64,7486931.11,3.92,Prophet,Minnesota
4265503.18,5904703.83,3.56,Prophet,Mississippi
6277390.44,8295084.2,3.28,Prophet,Missouri
2557910.26,3263663.34,4.21,Prophet,Nebraska
4332171.87,5131655.6,4.32,Prophet,Nevada
2615475.07,3014507.93,4.74,Prophet,New Hampshire
2902733.06,3435992.44,4.08,Prophet,New Mexico
17851080.44,21009857.65,4.16,Prophet,New York
12432147.27,14721931.75,3.52,Prophet,North Carolina
13570832.52,16726409.5,3.72,Prophet,Ohio
4893235.44,6143922.34,3.39,Prophet,Oklahoma
5881420.67,7207390.87,5.22,Prophet,Oregon
11752901.47,13917014.93,3.3,Prophet,Pennsylvania
1158369.52,1452417.06,4.38,Prophet,Rhode Island
6421084.53,8053571.21,3.35,Prophet,South Carolina
1377503.02,1604097.29,4.92,Prophet,South Dakota
8311980.85,10365582.98,3.25,Prophet,Tennessee
27720786.83,34511203.17,3.16,Prophet,Texas
3939690.43,4776212.79,4.79,Prophet,Utah
743687.75,907500.51,4.1,Prophet,Vermont
9749523.54,12088717.85,3.4,Prophet,Virginia
8508027.18,10502352.7,4.59,Prophet,Washington
2833590.01,3539000.48,3.81,Prophet,West Virginia
6345154.86,7808536.11,4.11,Prophet,Wisconsin
863248.58,1094352.55,4.12,Prophet,Wyoming
8525801.34,10686874.52,4.24,SARIMA,Alabama
8301373.4,10389732.35,3.78,SARIMA,Arizona
4905810.81,5916752.08,4.56,SARIMA,Arkansas
32829921.13,42361664.33,3.99,SARIMA,California
6601412.0,8435335.2,3.87,SARIMA,Colorado
3122820.94,3572117.95,3.53,SARIMA,Connecticut
19893406.99,26205056.01,2.72,SARIMA,Florida
16889525.5,20863620.1,4.56,SARIMA,Georgia
11264169.63,13542127.37,3.63,SARIMA,Illinois
8737279.52,10660661.17,4.05,SARIMA,Indiana
4188238.46,5131505.51,3.71,SARIMA,Iowa
3153606.81,3803783.41,3.55,SARIMA,Kansas
7230802.62,8862049.24,4.3,SARIMA,Kentucky
5763503.92,7420174.19,3.27,SARIMA,Louisiana
4217860.99,5228737.22,9.23,SARIMA,Maine
6056026.43,7210659.63,3.83,SARIMA,Maryland
6503878.97,7805730.69,3.59,SARIMA,Massachusetts
11787686.67,14298273.33,4.17,SARIMA,Michigan
5072382.96,6256177.73,3.28,SARIMA,Minnesota
9653025.35,11185334.76,7.97,SARIMA,Mississippi
8914131.74,10748484.75,4.68,SARIMA,Missouri
2360791.15,2952930.31,3.89,SARIMA,Nebraska
4210921.55,5289763.41,4.26,SARIMA,Nevada
2408096.6,3020483.59,4.44,SARIMA,New Hampshire
2928564.58,3753322.78,4.16,SARIMA,New Mexico
16529230.3,19993560.71,3.87,SARIMA,New York
14888951.21,18868418.1,4.28,SARIMA,North Carolina
16127615.21,20220389.97,4.47,SARIMA,Ohio
4919790.61,5900165.47,3.42,SARIMA,Oklahoma
4957959.98,6246505.76,4.43,SARIMA,Oregon
14648732.98,17772529.05,4.14,SARIMA,Pennsylvania
965971.65,1137248.22,3.68,SARIMA,Rhode Island
8759032.27,10904185.45,4.58,SARIMA,South Carolina
2015640.2,2581040.19,7.27,SARIMA,South Dakota
13612927.64,16687987.33,5.36,SARIMA,Tennessee
33260968.63,41809972.81,3.79,SARIMA,Texas
3437420.82,4603500.51,4.28,SARIMA,Utah
886007.67,1093281.53,4.87,SARIMA,Vermont
10644703.22,12992989.24,3.75,SARIMA,Virginia
6392698.25,7978950.47,3.47,SARIMA,Washington
2419116.76,2842211.98,3.24,SARIMA,West Virginia
6396629.25,7765975.92,4.17,SARIMA,Wisconsin
1164725.52,1496813.35,5.56,SARIMA,Wyoming
