Date,State,Total
2022-04-10,Alabama,227759611.10000002
2022-04-17,Alabama,195916758.05
2022-04-24,Alabama,197876829.3
2022-05-01,Alabama,203794005.45
2022-05-08,Alabama,209711181.6
2022-05-15,Alabama,208193476.8
2022-05-22,Alabama,219547509.4
2022-05-29,Alabama,212449962.2
2022-06-05,Alabama,191443876.4
2022-06-12,Alabama,197814663.39999998
2022-06-19,Alabama,220358695.29999998
2022-06-26,Alabama,220100178.99999997
2022-07-03,Alabama,223454856.75
2022-07-10,Alabama,226809534.5
2022-07-17,Alabama,212769922.8
2022-07-24,Alabama,215436685.6
2022-07-31,Alabama,221654891.4
2022-08-07,Alabama,207537233.1
2022-08-14,Alabama,224323609.89999998
2022-08-21,Alabama,215153556.3
2022-08-28,Alabama,215670829.20000002
2022-09-04,Alabama,178676923.60000002
2022-09-11,Alabama,211016006.4
2022-09-18,Alabama,213270227.9
2022-09-25,Alabama,215556915.6
2022-10-02,Alabama,211608942.925
2022-10-09,Alabama,207660970.25
2022-10-16,Alabama,204418180.9
2022-10-23,Alabama,198480434.59999996
2022-10-30,Alabama,194245501.60000002
2022-11-06,Alabama,197734814.25
2022-11-13,Alabama,201224126.9
2022-11-20,Alabama,197053090.0
2022-11-27,Alabama,192420636.6
2022-12-04,Alabama,201129562.05
2022-12-11,Alabama,209838487.5
2022-12-18,Alabama,200415284.1
2022-12-25,Alabama,200741723.89999998
2023-01-01,Alabama,184497797.3
2023-01-08,Alabama,185021290.8
2023-01-15,Alabama,185544784.3
2023-01-22,Alabama,182246124.7
2023-01-29,Alabama,183105937.6
2023-02-05,Alabama,205535418.60000002
2023-02-12,Alabama,198489558.4
2023-02-19,Alabama,191443698.2
2023-02-26,Alabama,199003415.99999997
2023-03-05,Alabama,202957799.56666663
2023-03-12,Alabama,206912183.13333333
2023-03-19,Alabama,210866566.7
2023-03-26,Alabama,202214026.20000002
2023-04-02,Alabama,202520030.96666667
2023-04-09,Alabama,202826035.73333335
2023-04-16,Alabama,203132040.5
2023-04-23,Alabama,206852538.60000002
2023-04-30,Alabama,211451722.70000002
2023-05-07,Alabama,200891963.20000002
2023-05-14,Alabama,202967664.76666668
2023-05-21,Alabama,205043366.33333334
2023-05-28,Alabama,207119067.9
2023-06-04,Alabama,209194769.46666667
2023-06-11,Alabama,211270471.03333336
2023-06-18,Alabama,213346172.60000002
2023-06-25,Alabama,215421874.1666667
2023-07-02,Alabama,217497575.73333335
2023-07-09,Alabama,219573277.3
2023-07-16,Alabama,211302494.875
2023-07-23,Alabama,203031712.45
2023-07-30,Alabama,194760930.025
2023-08-06,Alabama,186490147.6
2023-08-13,Alabama,189661264.46
2023-08-20,Alabama,192832381.32
2023-08-27,Alabama,196003498.18
2023-09-03,Alabama,199174615.04
2023-09-10,Alabama,202345731.9
2023-09-17,Alabama,202604650.3625
2023-09-24,Alabama,202863568.82500002
2023-10-01,Alabama,203122487.28750002
2023-10-08,Alabama,203381405.75
2023-10-15,Alabama,203640324.2125
2023-10-22,Alabama,203899242.675
2023-10-29,Alabama,204158161.13750002
2023-11-05,Alabama,204417079.60000002
2023-11-12,Alabama,204675998.0625
2023-11-19,Alabama,204934916.525
2023-11-26,Alabama,205193834.9875
2023-12-03,Alabama,205452753.45000002
2019-01-13,Arizona,109101594.60000001
2019-01-20,Arizona,109804101.72222222
2019-01-27,Arizona,110506608.84444445
2019-02-03,Arizona,111209115.96666667
2019-02-10,Arizona,111911623.0888889
2019-02-17,Arizona,112614130.21111111
2019-02-24,Arizona,113316637.33333334
2019-03-03,Arizona,114019144.45555556
2019-03-10,Arizona,114721651.57777779
2019-03-17,Arizona,115424158.7
2019-03-24,Arizona,115766745.66923077
2019-03-31,Arizona,116109332.63846155
2019-04-07,Arizona,116451919.60769232
2019-04-14,Arizona,116794506.57692307
2019-04-21,Arizona,117137093.54615384
2019-04-28,Arizona,117479680.51538461
2019-05-05,Arizona,117822267.48461539
2019-05-12,Arizona,118164854.45384616
2019-05-19,Arizona,118507441.42307693
2019-05-26,Arizona,118850028.39230768
2019-06-02,Arizona,119192615.36153845
2019-06-09,Arizona,119535202.33076923
2019-06-16,Arizona,119877789.3
2019-06-23,Arizona,118825270.16666666
2019-06-30,Arizona,117772751.03333333
2019-07-07,Arizona,116720231.89999999
2019-07-14,Arizona,115667712.76666667
2019-07-21,Arizona,114615193.63333333
2019-07-28,Arizona,113562674.5
2019-08-04,Arizona,112510155.36666666
2019-08-11,Arizona,111457636.23333332
2019-08-18,Arizona,110405117.1
2019-08-25,Arizona,111473727.125
2019-09-01,Arizona,112542337.14999999
2019-09-08,Arizona,113610947.175
2019-09-15,Arizona,114679557.19999999
2019-09-22,Arizona,115748167.225
2019-09-29,Arizona,116816777.25
2019-10-06,Arizona,117885387.27499999
2019-10-13,Arizona,118953997.3
2019-10-20,Arizona,116127753.8
2019-10-27,Arizona,115216831.39999999
2019-11-03,Arizona,115641546.6
2019-11-10,Arizona,116066261.8
