MAE,RMSE,MAPE,model,state
6877882.85,9284032.93,2.43,XGBoost,Michigan
2847846.71,3676624.13,1.86,XGBoost,Minnesota
2475828.01,3042352.79,2.03,XGBoost,Mississippi
3364398.78,3900078.57,1.71,XGBoost,Missouri
1830651.8,2136234.64,2.91,XGBoost,Nebraska
2032422.3,2521681.4,1.99,XGBoost,Nevada
1164619.95,1405096.84,2.14,XGBoost,New Hampshire
2224534.06,2655977.95,3.04,XGBoost,New Mexico
7407410.2,10460694.2,1.74,XGBoost,New York
6416384.49,7380141.1,1.83,XGBoost,North Carolina
3724448.29,4911510.38,1.03,XGBoost,Ohio
3248854.31,3877695.7,2.2,XGBoost,Oklahoma
1838530.35,2241024.13,1.6,XGBoost,Oregon
5542422.64,7584000.76,1.56,XGBoost,Pennsylvania
703995.25,840265.2,2.64,XGBoost,Rhode Island
2711201.57,3662090.15,1.42,XGBoost,South Carolina
495670.08,638067.55,1.78,XGBoost,South Dakota
4356004.92,5084877.08,1.69,XGBoost,Tennessee
25136654.42,30684303.71,2.79,XGBoost,Texas
1149260.35,1425576.85,1.38,XGBoost,Utah
459367.19,630796.49,2.52,XGBoost,Vermont
7453042.41,8720501.17,2.57,XGBoost,Virginia
5448241.07,6734520.4,2.92,XGBoost,Washington
2234482.31,2621356.28,2.94,XGBoost,West Virginia
2562099.94,3331953.55,1.67,XGBoost,Wisconsin
444870.76,516632.36,2.11,XGBoost,Wyoming
8934005.27,9707494.42,4.33,LSTM,Alabama
11239077.77,12890418.06,5.01,LSTM,Arizona
5375516.02,6139925.65,4.85,LSTM,Arkansas
34346325.82,39083334.68,4.03,LSTM,California
15469983.16,16574289.35,8.85,LSTM,Colorado
5527464.92,6070660.84,6.18,LSTM,Connecticut
17054132.06,19598428.24,2.3,LSTM,Florida
10523872.43,12356008.75,2.8,LSTM,Georgia
19795983.1,21903054.62,6.23,LSTM,Illinois
12593696.38,14280150.84,5.66,LSTM,Indiana
8777131.85,9836717.36,7.53,LSTM,Iowa
8387551.54,9006827.9,9.24,LSTM,Kansas
9737516.34,10802461.26,5.62,LSTM,Kentucky
11645956.26,12804694.2,6.4,LSTM,Louisiana
2356316.37,2681813.51,5.02,LSTM,Maine
5807400.09,6588768.82,3.6,LSTM,Maryland
9999758.8,11239471.19,5.43,LSTM,Massachusetts
14840351.77,16920436.6,5.12,LSTM,Michigan
6488062.77,7974732.05,4.12,LSTM,Minnesota
8390207.13,9181635.14,6.75,LSTM,Mississippi
8969138.65,10521038.31,4.55,LSTM,Missouri
1215204.39,1671713.76,2.01,LSTM,Nebraska
3587308.94,4204111.11,3.52,LSTM,Nevada
2546226.81,2933217.93,4.54,LSTM,New Hampshire
3229807.65,3746037.15,4.43,LSTM,New Mexico
21870891.54,24621625.03,5.02,LSTM,New York
12771787.81,14549633.03,3.59,LSTM,North Carolina
13066713.48,14683538.29,3.54,LSTM,Ohio
5683839.66,6373201.09,3.85,LSTM,Oklahoma
6841130.62,7833825.86,5.89,LSTM,Oregon
17080314.2,19274953.14,4.74,LSTM,Pennsylvania
1724314.39,1922144.01,6.45,LSTM,Rhode Island
6647906.06,7948131.59,3.4,LSTM,South Carolina
1115898.6,1344418.66,3.92,LSTM,South Dakota
7865344.92,8845420.29,3.04,LSTM,Tennessee
48487722.05,54917109.34,5.35,LSTM,Texas
4797360.23,5406871.96,5.7,LSTM,Utah
1006455.75,1134581.77,5.45,LSTM,Vermont
10781146.07,12133806.79,3.71,LSTM,Virginia
11483433.31,12617152.22,6.09,LSTM,Washington
3468680.63,3796613.91,4.57,LSTM,West Virginia
6353153.77,7762285.68,4.01,LSTM,Wisconsin
471626.28,558379.23,2.22,LSTM,Wyoming
5020862.33,6305586.45,2.49,Random Forest,Alabama
10295110.55,12105138.98,4.56,Random Forest,Arizona
2056363.64,2356932.32,1.87,Random Forest,Arkansas
18119036.6,22322181.75,2.17,Random Forest,California
3404148.43,4073682.88,1.99,Random Forest,Colorado
1467907.21,1682785.86,1.66,Random Forest,Connecticut
35544388.71,38550733.12,4.75,Random Forest,Florida
7890920.34,9898705.83,2.13,Random Forest,Georgia
8189237.47,9280237.17,2.6,Random Forest,Illinois
3409087.12,4152798.56,1.57,Random Forest,Indiana
2745685.81,3157373.45,2.37,Random Forest,Iowa
1951173.71,2411003.45,2.13,Random Forest,Kansas
3825075.57,4535866.91,2.24,Random Forest,Kentucky
3986785.15,4850817.15,2.19,Random Forest,Louisiana
1938332.39,2381004.72,4.18,Random Forest,Maine
3301374.42,4131786.68,2.09,Random Forest,Maryland
4017644.28,4641738.02,2.19,Random Forest,Massachusetts
5707093.51,7229724.29,2.03,Random Forest,Michigan
3639511.83,4198391.89,2.37,Random Forest,Minnesota
2352461.22,3179322.92,1.94,Random Forest,Mississippi
2975595.11,3614240.71,1.52,Random Forest,Missouri
1997773.53,2395312.12,3.18,Random Forest,Nebraska
2340856.16,2718352.28,2.32,Random Forest,Nevada
1652687.16,1941330.76,3.03,Random Forest,New Hampshire
1884098.92,2193608.23,2.58,Random Forest,New Mexico
9609736.43,10955957.08,2.24,Random Forest,New York
8026727.72,9216957.59,2.29,Random Forest,North Carolina
7327079.6,8465630.45,2.01,Random Forest,Ohio
3408653.54,4103267.28,2.3,Random Forest,Oklahoma
3828312.01,4818754.73,3.4,Random Forest,Oregon
4814776.18,5968164.76,1.36,Random Forest,Pennsylvania
751629.95,880046.08,2.85,Random Forest,Rhode Island
5104943.19,5760684.72,2.61,Random Forest,South Carolina
948689.56,1198129.81,3.42,Random Forest,South Dakota
5292007.51,6256176.76,2.07,Random Forest,Tennessee
14675615.58,18325786.8,1.64,Random Forest,Texas
1829648.0,2310203.7,2.25,Random Forest,Utah
656818.09,757643.98,3.61,Random Forest,Vermont
6947348.57,8012996.69,2.41,Random Forest,Virginia
6389222.99,7501672.94,3.46,Random Forest,Washington
3129514.09,3860957.17,4.1,Random Forest,West Virginia
4058862.59,4843030.89,2.65,Random Forest,Wisconsin
1108086.41,1261680.08,5.21,Random Forest,Wyoming
4738604.64,5751872.18,2.34,Gradient Boosting,Alabama
9173616.24,10936922.39,4.07,Gradient Boosting,Arizona
1516603.9,1743868.74,1.38,Gradient Boosting,Arkansas
20089600.48,23460796.38,2.4,Gradient Boosting,California
2581697.85,3357620.8,1.51,Gradient Boosting,Colorado
1703506.78,2196377.94,1.94,Gradient Boosting,Connecticut
26252902.72,29597703.33,3.5,Gradient Boosting,Florida
6770764.45,7994439.24,1.82,Gradient Boosting,Georgia
6198730.72,7230101.24,1.97,Gradient Boosting,Illinois
3374329.55,4148183.19,1.54,Gradient Boosting,Indiana
2118045.65,2516539.96,1.84,Gradient Boosting,Iowa
1768842.35,2312948.89,1.93,Gradient Boosting,Kansas
2990450.92,3462761.98,1.75,Gradient Boosting,Kentucky
3652465.81,4189489.12,2.03,Gradient Boosting,Louisiana
1442149.44,1685038.13,3.09,Gradient Boosting,Maine
3013866.55,3599368.5,1.9,Gradient Boosting,Maryland
2597441.21,3077097.86,1.43,Gradient Boosting,Massachusetts
5556122.37,6558596.21,1.95,Gradient Boosting,Michigan
2470948.8,3084097.02,1.62,Gradient Boosting,Minnesota
2123836.3,2730371.86,1.74,Gradient Boosting,Mississippi
3596856.99,4254764.97,1.84,Gradient Boosting,Missouri
1473039.47,1820292.26,2.34,Gradient Boosting,Nebraska
2610246.06,3014654.47,2.56,Gradient Boosting,Nevada
1398547.72,1909332.64,2.58,Gradient Boosting,New Hampshire
1694753.52,2086979.75,2.32,Gradient Boosting,New Mexico
7311557.74,9487544.61,1.71,Gradient Boosting,New York
4418010.95,5214751.87,1.26,Gradient Boosting,North Carolina
4192249.27,5009452.56,1.15,Gradient Boosting,Ohio
2640544.04,3077132.89,1.79,Gradient Boosting,Oklahoma
3520034.35,4039954.98,3.12,Gradient Boosting,Oregon
4836136.54,6034094.79,1.36,Gradient Boosting,Pennsylvania
630673.87,755541.61,2.39,Gradient Boosting,Rhode Island
